一级类目,二级类目,三级类目,商品名称,价格,成交量,sku,状态
家具,办公家具,书架/书柜,黎派（LPA）书架简约时尚 落地收纳多功能大容量储物架 置物书架柜子 1500*400*1600mm,2710,14,100045314377 ,出池
家具,办公家具,文件柜/办公柜,理邦文件柜铁皮柜资料柜档案柜储物员工柜加厚,1355,0,100004082790 ,出池
服饰,女装,大衣,宝鸟女士秋冬毛呢工装大衣,900,56,100030400804 ,出池
家具,办公家具,办公桌,CKMA竖排员工工位PF-ZT165 2400*1200*1200mm（单位：组）办公桌,3032,0,100038903480 ,出池
办公设备,常用设备,打印机,长城(Great Wall)GBM-B2010DN A4国产黑白激光打印机 家用办公学生企业 自动双面 打印复印扫描一体机,1150,40,100133909426 ,出池
服饰,男装,羽绒服,Jdn Tiara 696011B 男女同款秋冬保暖外套羽绒服工作服定制,850,0,100034301598 ,出池
运动户外,健身训练,综合训练器,军霞（JUNXIA）史密斯机健身器材龙门架综合训练器家用深蹲多功能卧推架力量器械,13230,1,100011386573 ,出池
家用电器,厨房小电,多用途锅,火象多功能烤涮一体锅HX-SKG057中国红/柠檬黄/台,556,0,100142233683 ,入池
厨具,水具,保温杯,双立人 Enjoy系列真空保温弹跳杯480ml 黑 白 粉三色可选 下单请备注颜色 未备注随机发货,200,4,100036595514 ,出池
家具,员工宿舍,床,KETAI 1.8米双人床原木主卧床 A418# 1张,2225,2,100019819854 ,出池
鞋靴,男鞋,男靴,百思图户外运动工装靴厚底男低靴8M515DD4 多色 39 ~44,569,0,100276851122 ,出池
数码,数码配件,摄影配件,奇叶桨叶螺旋桨适用dji大疆avata穿越机无人机探索套装进阶版叶片配件机翼翅膀,59.84,0,100075519097 ,出池
办公用品,文具,学生文具,得力7540橡皮擦(超市装)(黄)(2块/包) 12包 黄色绘画4B200A美术橡皮擦,26.09,4,100014638408 ,出池
服饰,男装,西服,知谨呈西服套装两件套职业装高档男女同款制服面试工作服 起订量20套,387,0,100061646236 ,出池
家具,办公家具,屏风工位,汉诺鑫威-工作台工厂员工定制操作实验工作台桌椅组合F款,1420,70,100019394034 ,入池
